AREA;AREA_SIGLA;MUNICIPIO;LAT;LONG;T;P;areaP;N;SPP;CAP1;CAP2;CAP3;DAP 1;DAP 2;DAP3;H1;ANO1;ANO2;ANO3;CAP_MINIMO_AREA;ESTAGIO_SUCESSIONAL_AREA
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E1;Myrceugenia miersiana;11+10+9,5;11,3+11,1+9,8;;;;;2;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E2;Citronella paniculata;20;23,5;25;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E4;Drimys angustifolia;17;19,8;26;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E5;Myrceugenia mesomischa;20,3+25,5;22,5+25,6;26,3+23,1;;;;6;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E6;Drimys angustifolia;75,5;76,5;76,5;;;;9;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E7;Solanum pabstii;22;22;;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E8;Myrceugenia oxysepala;23,7+17,7+18,8+22+6+6,2;15,9+19,8+17,1+22,7+6,3+5,4 ;24,2+16,6+6,2+7,9+20,1+18,2;;;;5;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E9;Drimys angustifolia;78;78,7;80,4;;;;10;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E10;Myrceugenia euosma;89,9;92,7;95;;;;12;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E11;Myrceugenia mesomischa;22,1+4+5,5+9,1+10,4+9,7+17+10,2+9;20,2+8+9+10+17;7,5+9+17+23+9;;;;8;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E12;Drimys angustifolia;59+52,3;51,5+62,5;55,4+65,2;;;;12;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E13;Myrceugenia myrcioides;17+9,8+10,3;15,9+11+12,5;15,9+10+10,5;;;;5;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E14;Drimys angustifolia;76,2;80;80;;;;15;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E15;Drimys angustifolia;63;65,4;66,6;;;;10;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E16;Myrceugenia mesomischa;17,3;19,5;19,6;;;;5;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E17;Myrceugenia mesomischa;27+17,8+10,1+21+12,5+24,8+17;26,1+16,2+19,8+32,9+27,8+13,5+12,1+12,9;26,8+31,4+22,2+28+16,8+11,1+10+10;;;;7;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E18;Drimys angustifolia;73;76;78,4;;;;16;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E19;Siphoneugena reitzii;79+57,9;79+57;80,3+59,5;;;;16;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E20;Siphoneugena reitzii;18,7;21;;;;;7;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;E21;Drimys angustifolia;81+66,2;68,6;77,1;;;;16;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;F2;Myrceugenia miersiana;23,4;23,5;23,6;;;;3;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;F444;Siphoneugena reitzii;;21;24;;;;6;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;F171;Myrceugenia myrcioides;;16,2;17;;;;9;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;1D;100;G18;Eugenia uruguayensis;;;16;;;;6;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E30;Solanum pabstii;16,3;21;26;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E27;Solanum pabstii;26,5;33,5;39;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E29;Prunus myrtifolia;54,5;56,8;60,9;;;;8;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E24;Citronella paniculata;22;22;22,5;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;F175(E23);Myrceugenia myrcioides;26,5+22,5+13,5+13;12,2+14,1+22,4+26,7;23,1+28,7+12,2+12,5;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E22;Eugenia uruguayensis;25,1;25,1;26,6;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E26;Myrceugenia oxysepala;16,7+14+9+13,2;15+8+13,6+7,5+12,7+9,3;20+15,5+14+14,5+12,1+8,8+9,3;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E28;Drimys angustifolia;23,2;23,4;23,5;;;;5;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E25;Drimys angustifolia;46,4;51,7;60,5;;;;6;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E31;Myrceugenia miersiana;17,5;17,6;17,6;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E32;Drimys angustifolia;57,5+45,2;60+46,6;66,4+47,5;;;;6;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E41;Berberis laurina;31,1+18,5+6,9+18,2;17,7+6,9+11,4+30,5;;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;F174(E33);Myrceugenia euosma;18,5;15,2+17,1;21,5+13,4+14;;;;5;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E34;Myrceugenia mesomischa;6,3+14,5+10,5+15,9+13,8+19+15+9,5+13+9,5+18;14,5+10+16,8+19,3+15,5+9,8+9,8+10,6+18,7+9,7;15,9+12,9+18,3+15,3+17,6+9,5;;;;6;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E35;Myrceugenia mesomischa;15,7;15,6;15;;;;5;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E50;Myrceugenia myrcioides;20;20;20;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E48;Myrceugenia myrcioides;19,1+17,9+13+12,8+12,2+10,7+16,5+13,7+13,8;11,8+11,7+9,4+18,4+13,7+16,5+16,6;12+19+9+12+17+15,1+12;;;;6;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;E49;Solanum pabstii;16,4;21,2;26,5;;;;6;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;F172;Myrceugenia mesomischa;;16,4+13,1;8,5+13+15,4+13;;;;5;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;F173;Myrceugenia mesomischa;;19,7;20,6+13,7;;;;5;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;F450;Symphyopappus itatiayensis;;18,1;19,4;;;;7;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;F176;NI;;16,8;;;;;5;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;2D;100;G52;Myrceugenia miersiana;;;16;;;;3;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;3D;100;E42;Drimys angustifolia;66;64,4;;;;;10;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;3D;100;E44;Myrceugenia myrcioides;19,2;21;22+11;;;;7;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;3D;100;E39;Solanum pabstii;16,4;17,1;;;;;4;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;3D;100;E45;Drimys angustifolia;95;95,1;95,2;;;;13;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;3D;100;E46;Citronella paniculata;41;42;43,1;;;;8;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;3D;100;E47;Citronella paniculata;81;83;85;;;;10;2016;2020;2024;15,7;Avançado
Parque São Joaquim/área 1-Urubici;PNSJ1;Urubici;-28,09486;-49,50409;1;3D;100;E43;Siphoneugena reitzii;31;31;31;;;;7;2016;2020;2024;15,7;Avançado
