area;parc;parc;ni;especies;h2014;h2015;h2016;h2017;h2018;h2022;h2023;h2025;x;y
1;1;1E;1;Myrceugenia euosma;;;1,03;;1,17;1,1;;1,2;0,65;0,45
1;1;1E;j3;Baccharis uncinella;1,31;1,54;1,63;;M;M;;M;0,45;0,33
1;1;1E;3;Myrceugenia glaucescens;1,29;1,29;1,32;;1,58;1,5;;M;0,69;1,43
1;1;1E;4;Drimys angustifolia;1,49;1,52;1,75;;2,1;2;;2,1;0,58;2,24
1;1;1E;5;Myrceugenia glaucescens;1;1,03;1,1;;1,2;1,3;;1,1;0,59;1,97
1;1;1E;D850;Baccharis uncinella;2,3;2,6;2,85;;2,6;AD;;AD;1,9;1,24
1;1;1E;D851;Siphoneugenia reitzii;;;1,05;;1,33;1,7;;1,8;0,65;3,42
1;1;1E;9;Baccharis uncinella;2,15;2,2;2,5;;3,2;M;;M;2,25;4,41
1;1;1E;H1229;Myrceugenia myrcioides;;;1,14;;1,4;2;;2;2,3;5,41
1;1;1E;11;Baccharis uncinella;2,8;2,1;2,1;;M;M;;M;1,7;6,38
1;1;1E;12;Baccharis microdonta;2,8;2,8;2,45;;M;M;;M;3,6;8,72
1;1;1E;D855;Baccharis uncinella;2,5;3;3,5;;2,2;2;;M;1,1;8,59
1;1;1E;14;Araucaria angustifolia;1,66;1,8;1,95;;2,1;AD;;AD;4,9;9,7
1;1;1E;20;Baccharis uncinella;2,9;2,9;2,5;;M;M;;M;6,1;3,55
1;1;1E;21;Berberis laurina;;1,05;1,3;;1,8;1,9;;2;6,4;9,2
1;1;1E;22;Berberis laurina;1,2;1,22;3;;1,7;1,3;;M;5,2;3
1;1;1E;23;Baccharis uncinella;3;3,1;3,2;;3,4;M;;M;8,6;2,57
1;1;1E;25;Baccharis uncinella;1,2;1,2;M;;M;M;;M;5,1;1,25
1;1;1E;26;Baccharis uncinella;2,7;2,8;2,85;;3;M;;M;4;1,55
1;1;1E;27;Baccharis uncinella;1,84;2,4;2,35;;3,3;AD;;AD;3,5;0,22
1;1;1E;28;Baccharis uncinella;2;2;2,3;;M;M;;M;3;0,25
1;1;1E;30;Baccharis uncinella;2;2,05;3;;M;M;;M;3,1;1,33
1;1;1E;e3;Myrceugenia glaucescens;1;1,02;1,1;;1,1;1,2;;1,2;0,3;9,7
1;1;1E;M703;Maytenus boaria;;;1,06;;1,45;1,8;;M;4,21;0,25
1;1;1E;D860;Prunus myrtifolia;;;;;1,3;1,7;;1,7;0,4;1,83
1;1;1E;D852;Campovassouria cruciata;;;;;1,77;3;;3;5,5;6,64
1;1;1E;D853;Berberis laurina;;;;;1,05;1,3;;M;9,2;5,93
1;1;1E;M647;Campovassouria cruciata;;;;;1,85;2,3;;2,5;2,7;7,87
1;1;1E;H860;Campovassouria cruciata;;;;;3;3;;3,5;1,1;5,5
1;1;1E;D892;Symphyopappus itatiayensis;;;;;1,2;M;;M;0,3;6,11
1;1;1E;M52;Baccharis microdonta;;;;;;1,7;;M;;
1;1;1E;M138;Ocotea pulchella;;;;;;1,1;;1,5;1;2
1;1;1E;M69;Solanum paranense;;;;;;1,3;;M;;
1;1;1E;M124;Campovassouria cruciata;;;;;;1,5;;2,6;;
1;1;1E;M711;Symphyopappus itatiayensis;;;;;;2;;M;;
1;1;1E;M340;Campovassouria cruciata;;;;;;2,3;;M;;
1;1;1E;M516;Campovassouria cruciata;;;;;;3;;3;;
1;1;1E;M225;Campovassouria cruciata;;;;;;1,2;;2,2;;
1;1;1E;M327;Campovassouria cruciata;;;;;;1,35;;M;;
1;1;1E;M322;Siphoneugenia reitzii;;;;;;1,4;;1,8;4,5;9,7
1;1;1E;H1225;Baccharis microdonta;;;;;;2;;2,5;4;10
1;1;1E;H1227;Baccharis microdonta;;;;;;1,6;;2,5;4;10
1;1;1E;M332;Baccharis uncinella;;;;;;2;;AD;;
1;1;1E;M334;Symphyopappus itatiayensis;;;;;;1,5;;2;6,5;5
1;1;1E;M17;Drimys angustifolia;;;;;;1,3;;2,1;;
1;1;1E;M325;Drimys angustifolia;;;;;;1,2;;M;;
1;1;1E;M18;Solanum paranense;;;;;;1,2;;1,4;;
1;1;1E;M229;Myrceugenia regnelliana;;;;;;1;;M;;
1;1;1E;M320;Drimys angustifolia;;;;;;1,2;;1,25;;
